,Protein IDs,Fasta headers,diff,Intensity Pynd_AlkKO_WCL,Intensity Control_WCL
560,['YDL223C'],"['>YDL223C HBT1 SGDID:S000002382, Chr IV from 60405-57265, Genome Release 64-2-1, reverse complement, Verified ORF, Shmoo tip protein, substrate of Hub1p ubiquitin-like protein', 'mutants are defective for mating projection formation, thereby implicating Hbt1']",2.180322211471381,21.37687151146069,19.196549299989307
2900,['YPR024W'],"['>YPR024W YME1 SGDID:S000006228, Chr XVI from 610481-612724, Genome Release 64-2-1, Verified ORF, Catalytic subunit of the i-AAA protease complex', 'complex is located in the mitochondrial inner membrane', 'responsible for degradation of unfolded or misfolded']",2.071323704577267,25.046726693901384,22.975402989324117
2185,['YMR086W'],"['>YMR086W SEG1 SGDID:S000004692, Chr XIII from 439208-442090, Genome Release 64-2-1, Verified ORF, Component of eisosome required for proper eisosome assembly', 'precedes Pil1p/Lsp1p during eisosome formation, controls eisosome length and shape', 'diffusely di']",1.9696255114288697,21.44965043447714,19.48002492304827
1830,"['YKR095W', 'YDL209C']","['>YKR095W MLP1 SGDID:S000001803, Chr XI from 619805-625432, Genome Release 64-2-1, Verified ORF, Myosin-like protein associated with the nuclear envelope', 'nuclear basket protein that connects the nuclear pore complex with the nuclear interior', 'involved wit']",1.9519907631029945,25.460202395291446,23.508211632188452
1710,['YKL077W'],"['>YKL077W YKL077W SGDID:S000001560, Chr XI from 291453-292631, Genome Release 64-2-1, Uncharacterized ORF, Putative protein of unknown function', 'green fluorescent protein (GFP)-fusion protein localizes to the vacuole']",1.940925474723894,22.336744077959473,20.39581860323558
161,['YAL060W'],"['>YAL060W BDH1 SGDID:S000000056, Chr I from 35155-36303, Genome Release 64-2-1, Verified ORF, NAD-dependent (R,R)-butanediol dehydrogenase', 'catalyzes oxidation of (R,R)-2,3-butanediol to (3R)-acetoin, oxidation of meso-butanediol to (3S)-acetoin, and reduc']",1.9216816091670275,22.09203703807832,20.170355428911293
724,['YDR326C'],"['>YDR326C YSP2 SGDID:S000002734, Chr IV from 1124925-1120609, Genome Release 64-2-1, reverse complement, Verified ORF, Protein involved in programmed cell death', 'mutant shows resistance to cell death induced by amiodarone or intracellular acidification', 'YS']",1.7342452153014882,22.655170815071795,20.920925599770307
2406,['YNL207W'],"['>YNL207W RIO2 SGDID:S000005151, Chr XIV from 255353-256630, Genome Release 64-2-1, Verified ORF, Essential serine kinase involved in the processing of 20S pre-rRNA', 'involved in the processing of the 20S pre-rRNA into mature 18S rRNA', 'has similarity to Rio']",1.6976287209274687,22.537702800122688,20.84007407919522
1130,['YGL255W'],"['>YGL255W ZRT1 SGDID:S000003224, Chr VII from 20978-22108, Genome Release 64-2-1, Verified ORF, High-affinity zinc transporter of the plasma membrane', 'responsible for the majority of zinc uptake', 'transcription is induced under low-zinc conditions by the Za']",1.6727964262063608,25.71088082679679,24.038084400590428
2886,['YPL271W'],"['>YPL271W ATP15 SGDID:S000006192, Chr XVI from 30079-30267, Genome Release 64-2-1, Verified ORF, Epsilon subunit of the F1 sector of mitochondrial F1F0 ATP synthase', 'which is a large, evolutionarily conserved enzyme complex required for ATP synthesis', 'F1 t']",1.6136136117101216,24.322717623142378,22.709104011432256
2681,['YOR208W'],"['>YOR208W PTP2 SGDID:S000005734, Chr XV from 733925-736177, Genome Release 64-2-1, Verified ORF, Nuclear phosphotyrosine-specific phosphatase involved in osmosensing', 'involved in the inactivation of mitogen-activated protein kinase (MAPK) during osmolarity']",1.590389199223413,23.530767323867178,21.940378124643765
812,['YDR508C'],"['>YDR508C GNP1 SGDID:S000002916, Chr IV from 1468444-1466453, Genome Release 64-2-1, reverse complement, Verified ORF, High-affinity glutamine permease', 'also transports Leu, Ser, Thr, Cys, Met and Asn', 'expression is fully dependent on Grr1p and modulated b']",1.5539484324200572,22.51231706108795,20.95836862866789
1243,['YGR229C'],"['>YGR229C SMI1 SGDID:S000003461, Chr VII from 950899-949382, Genome Release 64-2-1, reverse complement, Verified ORF, Protein involved in the regulation of cell wall synthesis', 'proposed to be involved in coordinating cell cycle progression with cell wall i']",1.535892015244503,25.200489468541452,23.66459745329695
2457,['YNL307C'],"['>YNL307C MCK1 SGDID:S000005251, Chr XIV from 57573-56446, Genome Release 64-2-1, reverse complement, Verified ORF, Dual-specificity ser/thr and tyrosine protein kinase', 'roles in chromosome segregation, meiotic entry, genome stability, phosphorylation-depe']",1.5289160555802859,23.47072738043221,21.941811324851923
2950,['YPR148C'],"['>YPR148C YPR148C SGDID:S000006352, Chr XVI from 828140-826833, Genome Release 64-2-1, reverse complement, Verified ORF, Protein of unknown function', 'may interact with ribosomes, based on co-purification experiments', 'green fluorescent protein (GFP)-fusion']",1.5038777247129431,23.262126969354977,21.758249244642034
1357,['YHR098C'],"['>YHR098C SFB3 SGDID:S000001140, Chr VIII from 301934-299145, Genome Release 64-2-1, reverse complement, Verified ORF, Component of the Sec23p-Sfb3p heterodimer of the COPII vesicle coat', 'COPII coat is required for cargo selection during vesicle formation']",1.4911539676578656,23.068055290606903,21.576901322949038
2688,['YOR220W'],"['>YOR220W RCN2 SGDID:S000005746, Chr XV from 755328-756125, Genome Release 64-2-1, Verified ORF, Protein of unknown function', 'green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm', 'phosphorylated in response to alpha factor', 'protein abu']",1.4843582109841442,21.03126773904845,19.546909528064305
1651,['YJR103W'],"['>YJR103W URA8 SGDID:S000003864, Chr X from 620754-622490, Genome Release 64-2-1, Verified ORF, Minor CTP synthase isozyme (see also URA7)', 'catalyzes the ATP-dependent transfer of the amide nitrogen from glutamine to UTP, forming CTP, the final step in de']",1.4453121503365907,22.753115528158506,21.307803377821916
405,['YCL064C'],"['>YCL064C CHA1 SGDID:S000000569, Chr III from 16880-15798, Genome Release 64-2-1, reverse complement, Verified ORF, Catabolic L-serine (L-threonine) deaminase', 'catalyzes the degradation of both L-serine and L-threonine', 'required to use serine or threonine']",1.3731563834226463,23.482961537351628,22.10980515392898
2462,['YNL312W'],"['>YNL312W RFA2 SGDID:S000005256, Chr XIV from 48287-48293,48402-49216, Genome Release 64-2-1, Verified ORF, Subunit of heterotrimeric Replication Protein A (RPA)', 'RPA is a highly conserved single-stranded DNA binding protein involved in DNA replication, re']",1.3080860872271813,23.44050423118857,22.132418143961388
581,['YDR028C'],"['>YDR028C REG1 SGDID:S000002435, Chr IV from 500879-497835, Genome Release 64-2-1, reverse complement, Verified ORF, Regulatory subunit of type 1 protein phosphatase Glc7p', 'involved in negative regulation of glucose-repressible genes', 'involved in regulatio']",1.1934950578375663,22.837439300042416,21.64394424220485
2340,['YNL085W'],"['>YNL085W MKT1 SGDID:S000005029, Chr XIV from 467131-469623, Genome Release 64-2-1, Verified ORF, Protein similar to nucleases that forms a complex with Pbp1p', 'complex may mediate posttranscriptional regulation of HO', 'involved in propagation of M2 dsRNA sa']",1.1819009531670268,21.7558476356396,20.573946682472574
1537,['YJL068C'],"['>YJL068C YJL068C SGDID:S000003604, Chr X from 313915-313016, Genome Release 64-2-1, reverse complement, Verified ORF, Esterase that can function as an S-formylglutathione hydrolase', 'non-essential intracellular esterase', 'may be involved in the detoxificati']",1.1377731855957443,23.307303107907334,22.16952992231159
1303,['YHR009C'],"['>YHR009C TDA3 SGDID:S000001051, Chr VIII from 125680-124109, Genome Release 64-2-1, reverse complement, Verified ORF, Putative oxidoreductase involved in late endosome to Golgi transport', 'physical and genetical interactions with Btn2p', 'null mutant is viab']",1.1362812913046483,21.457086246377763,20.320804955073115
292,['YBR111C'],"['>YBR111C YSA1 SGDID:S000000315, Chr II from 461873-461178, Genome Release 64-2-1, reverse complement, Verified ORF, Nudix hydrolase family member with ADP-ribose pyrophosphatase activity', 'shown to metabolize O-acetyl-ADP-ribose to AMP and acetylated ribos']",1.089139114548793,25.583194353244817,24.494055238696024
2397,['YNL183C'],"['>YNL183C NPR1 SGDID:S000005127, Chr XIV from 295509-293137, Genome Release 64-2-1, reverse complement, Verified ORF, Protein kinase', 'stabilizes several plasma membrane amino acid transporters by antagonizing their ubiquitin-mediated degradation', 'phosphory']",1.0654751647856493,20.63679452594054,19.57131936115489
2249,['YMR220W'],"['>YMR220W ERG8 SGDID:S000004833, Chr XIII from 712316-713671, Genome Release 64-2-1, Verified ORF, Phosphomevalonate kinase', 'an essential cytosolic enzyme that acts in the biosynthesis of isoprenoids and sterols, including ergosterol, from mevalonate']",1.0432220637172485,23.217118749320946,22.173896685603697
1110,['YGL197W'],"['>YGL197W MDS3 SGDID:S000003165, Chr VII from 124698-129161, Genome Release 64-2-1, Verified ORF, Putative component of the TOR regulatory pathway', 'negative regulator of early meiotic gene expression', 'required, with Pmd1p, for growth under alkaline conditi']",1.0395464829194516,26.246718131580476,25.207171648661024
1030,['YGL001C'],"['>YGL001C ERG26 SGDID:S000002969, Chr VII from 496502-495453, Genome Release 64-2-1, reverse complement, Verified ORF, C-3 sterol dehydrogenase', 'catalyzes the second of three steps required to remove two C-4 methyl groups from an intermediate in ergosterol']",1.0374976739638626,25.116047240511268,24.078549566547405
2515,['YOL031C'],"['>YOL031C SIL1 SGDID:S000005391, Chr XV from 267529-266264, Genome Release 64-2-1, reverse complement, Verified ORF, Nucleotide exchange factor for the ER lumenal Hsp70 chaperone Kar2p', 'required for protein translocation into the endoplasmic reticulum (ER)']",1.0364570375412754,21.173042695025618,20.136585657484343
1727,['YKL108W'],"['>YKL108W SLD2 SGDID:S000001591, Chr XI from 234426-235787, Genome Release 64-2-1, Verified ORF, Single-stranded DNA origin-binding and annealing protein', 'required for initiation of DNA replication', 'phosphorylated in S phase by cyclin-dependent kinases (Cd']",1.0229054520249896,21.387112794099917,20.364207342074927
2032,['YLR370C'],"['>YLR370C ARC18 SGDID:S000004362, Chr XII from 862254-861718, Genome Release 64-2-1, reverse complement, Verified ORF, Subunit of the ARP2/3 complex', 'ARP2/3 is required for the motility and integrity of cortical actin patches']",1.008010975193244,23.895320107979444,22.8873091327862
