,Protein IDs,Fasta headers,diff,Intensity Pynd_5FC_Ub,Intensity Control_Ub
261,['YBR059C'],"['>YBR059C AKL1 SGDID:S000000263, Chr II from 360187-356861, Genome Release 64-2-1, reverse complement, Verified ORF, Ser-Thr protein kinase', 'member (with Ark1p and Prk1p) of the Ark kinase family', 'involved in endocytosis and actin cytoskeleton organization']",1.4367057075330258,21.917105430862023,20.480399723328997
207,['YBL054W'],"['>YBL054W TOD6 SGDID:S000000150, Chr II from 117589-119166, Genome Release 64-2-1, Verified ORF, PAC motif binding protein involved in rRNA and ribosome biogenesis', 'subunit of the RPD3L histone deacetylase complex', 'Myb-like HTH transcription factor', 'hypoph']",1.4039343909527027,22.102903516722943,20.69896912577024
2191,['YMR102C'],"['>YMR102C YMR102C SGDID:S000004708, Chr XIII from 472352-469848, Genome Release 64-2-1, reverse complement, Uncharacterized ORF, Protein of unknown function', 'transcription is activated by paralogous transcription factors Yrm1p and Yrr1p along with genes in']",1.3730850189946935,20.305634287546713,18.93254926855202
560,['YDL223C'],"['>YDL223C HBT1 SGDID:S000002382, Chr IV from 60405-57265, Genome Release 64-2-1, reverse complement, Verified ORF, Shmoo tip protein, substrate of Hub1p ubiquitin-like protein', 'mutants are defective for mating projection formation, thereby implicating Hbt1']",1.2058204666901347,27.361853842301958,26.156033375611823
675,['YDR208W'],"['>YDR208W MSS4 SGDID:S000002616, Chr IV from 868224-870563, Genome Release 64-2-1, Verified ORF, Phosphatidylinositol-4-phosphate 5-kinase', 'involved in actin cytoskeleton organization and cell morphogenesis', 'multicopy suppressor of stt4 mutation']",1.2003799394677195,20.240278920492255,19.039898981024535
831,['YEL011W'],"['>YEL011W GLC3 SGDID:S000000737, Chr V from 133120-135234, Genome Release 64-2-1, Verified ORF, Glycogen branching enzyme, involved in glycogen accumulation', 'green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm in a punctate pattern', 'r']",1.1752903232251306,20.52477890036127,19.34948857713614
2192,['YMR104C'],"['>YMR104C YPK2 SGDID:S000004710, Chr XIII from 475453-473420, Genome Release 64-2-1, reverse complement, Verified ORF, Protein kinase similar to serine/threonine protein kinase Ypk1p', 'functionally redundant with YPK1 at the genetic level', 'participates in a']",1.1696080997296967,23.287994128410983,22.118386028681286
1062,['YGL071W'],"['>YGL071W AFT1 SGDID:S000003039, Chr VII from 372012-374084, Genome Release 64-2-1, Verified ORF, Transcription factor involved in iron utilization and homeostasis', 'binds consensus site PyPuCACCCPu and activates transcription in response to changes in iron']",1.1274402895087405,22.370686342696647,21.243246053187907
1108,['YGL191W'],"['>YGL191W COX13 SGDID:S000003159, Chr VII from 144808-145197, Genome Release 64-2-1, Verified ORF, Subunit VIa of cytochrome c oxidase', 'present in a subclass of cytochrome c oxidase complexes that may have a role in mimimizing generation of reactive oxygen']",1.1268668453777302,22.95524974661012,21.82838290123239
1301,['YHR007C'],"['>YHR007C ERG11 SGDID:S000001049, Chr VIII from 121683-120091, Genome Release 64-2-1, reverse complement, Verified ORF, Lanosterol 14-alpha-demethylase', 'catalyzes the C-14 demethylation of lanosterol to form 4,4-dimethyl cholesta-8,14,24-triene-3-beta-ol']",1.1203054053288959,22.268794400509947,21.14848899518105
1016,['YFR032C-A'],"['>YFR032C-A RPL29 SGDID:S000006437, Chr VI from 223437-223258, Genome Release 64-2-1, reverse complement, Verified ORF, Ribosomal 60S subunit protein L29', 'not essential for translation, but required for proper joining of large and small ribosomal subunits']",1.088366030656374,26.721428210237825,25.63306217958145
251,['YBR035C'],"['>YBR035C PDX3 SGDID:S000000239, Chr II from 306955-306269, Genome Release 64-2-1, reverse complement, Verified ORF, Pyridoxine (pyridoxamine) phosphate oxidase', 'has homologs in E. coli and Myxococcus xanthus', 'transcription is under the general control of']",1.0776331226781934,21.762635079929247,20.685001957251053
2659,['YOR173W'],"['>YOR173W DCS2 SGDID:S000005699, Chr XV from 657264-658325, Genome Release 64-2-1, Verified ORF, m(7)GpppX pyrophosphatase regulator', 'non-essential, stress induced regulatory protein', 'modulates m7G-oligoribonucleotide metabolism', 'inhibits Dcs1p', 'regulated']",1.0451656050824276,22.03664316342529,20.99147755834286
2265,['YMR250W'],"['>YMR250W GAD1 SGDID:S000004862, Chr XIII from 770801-772558, Genome Release 64-2-1, Verified ORF, Glutamate decarboxylase', 'converts glutamate into gamma-aminobutyric acid (GABA) during glutamate catabolism', 'involved in response to oxidative stress']",1.0209794190456734,24.36992796434287,23.348948545297198
231,['YBL101C'],"['>YBL101C ECM21 SGDID:S000000197, Chr II from 28299-24946, Genome Release 64-2-1, reverse complement, Verified ORF, Protein involved in regulating endocytosis of plasma membrane proteins', 'identified as a substrate for ubiquitination by Rsp5p and deubiquiti']",1.0134928010204547,22.0879975474934,21.074504746472947
