,Protein IDs,Fasta headers,diff,Intensity Pynd_AlkKO_UbP,Intensity Control_UbP
1713,['YKL081W'],"['>YKL081W TEF4 SGDID:S000001564, Chr XI from 282891-283095,283422-284455, Genome Release 64-2-1, Verified ORF, Gamma subunit of translational elongation factor eEF1B', 'stimulates the binding of aminoacyl-tRNA (AA-tRNA) to ribosomes by releasing eEF1A (Tef1p']",-2.6348881141212708,19.68517310560417,22.320061219725442
227,['YBL092W'],"['>YBL092W RPL32 SGDID:S000000188, Chr II from 45978-46370, Genome Release 64-2-1, Verified ORF, Ribosomal 60S subunit protein L32', 'overexpression disrupts telomeric silencing', 'homologous to mammalian ribosomal protein L32, no bacterial homolog']",-2.6017014760981,24.040260285396588,26.641961761494688
299,['YBR126C'],"['>YBR126C TPS1 SGDID:S000000330, Chr II from 490392-488905, Genome Release 64-2-1, reverse complement, Verified ORF, Synthase subunit of trehalose-6-P synthase/phosphatase complex', 'synthesizes the storage carbohydrate trehalose', 'also found in a monomeric f']",-2.4330568252180775,21.67387665788153,24.106933483099606
239,"['YNL030W', 'YBR009C']","['>YNL030W HHF2 SGDID:S000004975, Chr XIV from 576727-577038, Genome Release 64-2-1, Verified ORF, Histone H4', 'core histone protein required for chromatin assembly and chromosome function', 'one of two identical histone proteins (see also HHF1)', 'contributes t']",-2.3684238020253296,21.16103344246427,23.5294572444896
1129,['YGL253W'],"['>YGL253W HXK2 SGDID:S000003222, Chr VII from 23935-25395, Genome Release 64-2-1, Verified ORF, Hexokinase isoenzyme 2', 'catalyzes phosphorylation of glucose in the cytosol', 'predominant hexokinase during growth on glucose', 'functions in the nucleus to repres']",-2.2574679483430913,18.001902936357613,20.259370884700704
1847,['YLL018C'],"['>YLL018C DPS1 SGDID:S000003941, Chr XII from 111575-109902, Genome Release 64-2-1, reverse complement, Verified ORF, Aspartyl-tRNA synthetase, primarily cytoplasmic', 'homodimeric enzyme that catalyzes the specific aspartylation of tRNA(Asp)', 'class II amino']",-2.231288488726168,19.488130414789307,21.719418903515475
1015,"['YIL018W', 'YFR031C-A']","['>YIL018W RPL2B SGDID:S000001280, Chr IX from 316768-316771,317172-317932, Genome Release 64-2-1, Verified ORF, Ribosomal 60S subunit protein L2B', 'homologous to mammalian ribosomal protein L2 and bacterial L2', 'RPL2B has a paralog, RPL2A, that arose from th']",-2.058630006322346,26.419215695091907,28.477845701414253
1206,['YGR162W'],"['>YGR162W TIF4631 SGDID:S000003394, Chr VII from 824059-826917, Genome Release 64-2-1, Verified ORF, Translation initiation factor eIF4G', 'subunit of the mRNA cap-binding protein complex (eIF4F) that also contains eIF4E (Cdc33p)', 'interacts with Pab1p and wi']",-2.0331833397662287,21.12603390096217,23.1592172407284
2247,['YMR217W'],"['>YMR217W GUA1 SGDID:S000004830, Chr XIII from 701790-703367, Genome Release 64-2-1, Verified ORF, GMP synthase', 'highly conserved enzyme that catalyzes the second step in the biosynthesis of GMP from inosine 5-phosphate (IMP)', 'transcription is not subject']",-1.9450238330011267,22.708409512591693,24.65343334559282
2620,['YOR096W'],"['>YOR096W RPS7A SGDID:S000005622, Chr XV from 505794-505937,506339-506767, Genome Release 64-2-1, Verified ORF, Protein component of the small (40S) ribosomal subunit', 'interacts with Kti11p', 'deletion causes hypersensitivity to zymocin', 'homologous to mammal']",-1.8483920436838908,22.95171514243595,24.800107186119842
2083,['YML008C'],"['>YML008C ERG6 SGDID:S000004467, Chr XIII from 252990-251839, Genome Release 64-2-1, reverse complement, Verified ORF, Delta(24)-sterol C-methyltransferase', 'converts zymosterol to fecosterol in the ergosterol biosynthetic pathway by methylating position C-']",-1.8094644560000717,22.770742117208137,24.58020657320821
466,['YDL055C'],"['>YDL055C PSA1 SGDID:S000002213, Chr IV from 356759-355674, Genome Release 64-2-1, reverse complement, Verified ORF, GDP-mannose pyrophosphorylase (mannose-1-phosphate guanyltransferase)', 'synthesizes GDP-mannose from GTP and mannose-1-phosphate in cell wal']",-1.7691969272514712,22.957359274222654,24.726556201474125
1970,['YLR244C'],"['>YLR244C MAP1 SGDID:S000004234, Chr XII from 626331-625168, Genome Release 64-2-1, reverse complement, Verified ORF, Methionine aminopeptidase', 'catalyzes the cotranslational removal of N-terminal methionine from nascent polypeptides', 'function is partially']",-1.6031770603826772,20.791935499462294,22.39511255984497
509,['YDL126C'],"['>YDL126C CDC48 SGDID:S000002284, Chr IV from 238664-236157, Genome Release 64-2-1, reverse complement, Verified ORF, AAA ATPase', 'subunit of polyubiquitin-selective segregase complex involved in ERAD, cell wall integrity during heat stress, mitotic spindle']",-1.5453077576978274,21.395661734562413,22.94096949226024
249,['YBR031W'],"['>YBR031W RPL4A SGDID:S000000235, Chr II from 300166-301254, Genome Release 64-2-1, Verified ORF, Ribosomal 60S subunit protein L4A', 'N-terminally acetylated', 'homologous to mammalian ribosomal protein L4 and bacterial L4', 'RPL4A has a paralog, RPL4B, that ar']",-1.4840693448879883,25.80143997550189,27.285509320389878
1653,['YJR105W'],"['>YJR105W ADO1 SGDID:S000003866, Chr X from 623581-624603, Genome Release 64-2-1, Verified ORF, Adenosine kinase', 'required for the utilization of S-adenosylmethionine (AdoMet)', 'may be involved in recycling adenosine produced through the methyl cycle']",-1.3636016436678204,19.805775355201973,21.169376998869794
511,['YDL130W'],"['>YDL130W RPP1B SGDID:S000002288, Chr IV from 229906-230019,230321-230527, Genome Release 64-2-1, Verified ORF, Ribosomal protein P1 beta', 'component of the ribosomal stalk, which is involved in interaction of translational elongation factors with ribosome', '']",-1.3071843938215153,22.556067232562462,23.863251626383978
2519,['YOL040C'],"['>YOL040C RPS15 SGDID:S000005400, Chr XV from 253577-253149, Genome Release 64-2-1, reverse complement, Verified ORF, Protein component of the small (40S) ribosomal subunit', 'homologous to mammalian ribosomal protein S15 and bacterial S19']",-1.222107150898431,22.908976726684084,24.131083877582515
327,['YBR196C'],"['>YBR196C PGI1 SGDID:S000000400, Chr II from 613900-612236, Genome Release 64-2-1, reverse complement, Verified ORF, Glycolytic enzyme phosphoglucose isomerase', 'catalyzes the interconversion of glucose-6-phosphate and fructose-6-phosphate', 'required for cel']",-1.219942268353087,24.551157650752945,25.77109991910603
2949,['YPR145W'],"['>YPR145W ASN1 SGDID:S000006349, Chr XVI from 822620-824338, Genome Release 64-2-1, Verified ORF, Asparagine synthetase', 'catalyzes the synthesis of L-asparagine from L-aspartate in the asparagine biosynthetic pathway', 'ASN1 has a paralog, ASN2, that arose f']",-1.2063664300468666,20.552248810548477,21.758615240595343
136,['YAL012W'],"['>YAL012W CYS3 SGDID:S000000010, Chr I from 130799-131983, Genome Release 64-2-1, Verified ORF, Cystathionine gamma-lyase', 'catalyzes one of the two reactions involved in the transsulfuration pathway that yields cysteine from homocysteine with the intermedi']",-1.1873144133287568,23.940467741380814,25.12778215470957
483,"['YMR143W', 'YDL083C']","['>YMR143W RPS16A SGDID:S000004751, Chr XIII from 551928-551951,552496-552903, Genome Release 64-2-1, Verified ORF, Protein component of the small (40S) ribosomal subunit', 'homologous to mammalian ribosomal protein S16 and bacterial S9', 'RPS16A has a paralog,']",-1.0863238237673087,22.210237319109165,23.296561142876474
1076,['YGL103W'],"['>YGL103W RPL28 SGDID:S000003071, Chr VII from 310967-311015,311527-311927, Genome Release 64-2-1, Verified ORF, Ribosomal 60S subunit protein L28', 'homologous to mammalian ribosomal protein L27A and bacterial L15', 'may have peptidyl transferase activity', 'ca']",-1.0744386079501282,22.329097749035565,23.403536356985693
